FID,Shape *,Evento,PC1_woe,PC2_woe,V2X_woe,X1R_woe,X3R_woe
127,Point ZM,1,-0.431997,0.304827,0.341524,0.165285,0.083882
129,Point ZM,1,0.496723,-0.159533,-1.46465,0.165285,-0.809453
132,Point ZM,1,-0.431997,-0.159533,-0.202755,0.165285,0.083882
134,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.083882
136,Point ZM,1,-0.873904,-1.03019,-1.03193,0.165285,0.17043
138,Point ZM,1,0.965277,-0.159533,1.60759,0.165285,0.17043
139,Point ZM,1,0.965277,0.616158,-0.657437,0.165285,0.083882
142,Point ZM,1,0.496723,0.616158,-0.202755,0.165285,0.543944
143,Point ZM,1,0.496723,-0.159533,-0.682033,0.165285,0.17043
146,Point ZM,1,-0.431997,-0.186688,2.61886,0.165285,-0.809453
147,Point ZM,1,0.965277,-0.186688,1.20354,0.165285,0.17043
155,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.17043
159,Point ZM,1,0.965277,-0.186688,-0.202755,0.165285,-0.809453
160,Point ZM,1,0.965277,-0.159533,1.02094,0.165285,-0.809453
161,Point ZM,1,-0.431997,-0.159533,1.02094,0.165285,-0.809453
162,Point ZM,1,0.496723,-0.186688,1.02094,0.165285,-0.809453
163,Point ZM,1,0.496723,0.616158,1.60759,0.165285,0.17043
164,Point ZM,1,0.965277,0.304827,1.60759,0.165285,0.083882
166,Point ZM,1,0.965277,0.616158,1.60759,0.165285,0.083882
174,Point ZM,1,0.965277,0.304827,0.143557,0.165285,-0.298904
177,Point ZM,1,0.965277,-0.159533,-0.682033,0.165285,0.083882
180,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.083882
181,Point ZM,1,0.496723,0.304827,-0.682033,0.165285,0.083882
182,Point ZM,1,0.496723,-0.159533,-0.682033,0.165285,0.083882
183,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.083882
185,Point ZM,1,0.965277,0.616158,-0.682033,0.165285,-0.809453
186,Point ZM,1,0.496723,0.616158,-0.682033,0.165285,0.17043
187,Point ZM,1,0.496723,0.616158,-0.682033,0.165285,0.17043
188,Point ZM,1,0.965277,0.616158,-0.682033,0.165285,0.17043
