PROCESO,x4,pc1,pc2,pc3,pc4,v1x,v2x,v3x,x1,x2,x3
0,0.3631,-2.2113,0.8321,-1.9757,1.0331,15.0000,10.0000,15.0000,101.8549,2252.1086,210.9409
0,0.4339,0.3542,-1.4487,-0.9984,1.6221,15.0000,10.0000,15.0000,297.5736,2033.9795,13.6355
0,0.4753,-1.4347,0.7886,-1.9539,0.5565,16.0000,52.0000,16.0000,2.6082,1639.5643,69.2004
0,0.4961,-1.5341,0.0405,-1.3962,0.7493,16.0000,10.0000,16.0000,19.3915,1912.1251,39.4330
0,0.4426,-1.9477,0.8132,-1.9350,0.7873,16.0000,52.0000,16.0000,3.2787,2492.5877,62.4020
0,0.4005,0.6906,0.2049,-1.6719,0.0433,15.0000,70.0000,15.0000,130.1708,1945.7632,60.4613
0,0.4696,-1.6359,0.7899,-1.8784,0.4755,12.5581,26.0000,12.5581,25.8897,1548.4842,36.6103
0,0.4391,-1.8919,0.7945,-1.8062,0.4324,6.0000,26.0000,6.0000,23.7875,1390.9232,111.5220
0,0.2896,-1.0530,0.7529,-1.8267,0.0285,6.0000,32.0000,6.0000,66.3684,83.3086,268.9786
0,0.3697,-1.0233,0.7543,-1.8502,0.0716,15.0000,3.0000,15.0000,7.8239,258.6816,103.1557
0,0.1744,-1.4087,0.7612,-1.7415,0.0070,4.0000,3.0000,4.0000,119.2626,274.0119,53.6370
0,0.2261,-0.4873,0.5918,-1.6768,0.1034,4.0000,3.0000,4.0000,103.4774,346.0121,12.9876
0,0.4545,-0.6029,0.5161,-1.6174,0.3058,12.0000,70.0000,12.0000,37.7261,75.3536,160.4343
0,0.2367,-1.0077,0.7519,-1.8375,0.0312,4.9122,70.0000,4.9122,2.2062,447.3064,7.9673
0,0.2282,-0.5180,-1.3477,-0.6311,0.6879,6.0000,70.0000,6.0000,214.3929,406.7082,32.4043
0,0.1884,-1.8315,0.8400,-2.2033,1.4005,16.0000,70.0000,16.0000,9.6481,2155.5105,107.0159
0,0.4792,-1.2399,0.7553,-1.7655,-0.0242,8.9827,70.0000,8.9827,52.8636,333.3363,114.7519
0,0.4650,-1.1109,0.7516,-1.7910,-0.0301,16.0000,70.0000,16.0000,52.1092,365.1544,148.1641
0,0.4095,-1.0166,0.7474,-1.7971,-0.0658,15.1377,70.0000,15.1377,20.9042,392.7010,70.3072
0,0.4724,-1.5292,0.5437,-1.6338,0.2480,16.0000,70.0000,16.0000,11.8161,1487.6257,184.7577
0,0.4896,-1.6951,0.5503,-1.5292,0.1631,16.0000,70.0000,16.0000,1.7185,1657.4450,128.5040
0,0.4047,0.3607,-0.2904,-1.4704,0.4565,10.0000,70.0000,10.0000,183.5534,1495.4254,346.5586
0,0.4870,-1.1842,0.0281,-1.3663,0.2701,16.0000,70.0000,16.0000,4.2817,1533.3808,175.3543
0,0.4871,-2.9609,0.8582,-1.8673,1.1669,16.1587,33.0000,16.1587,14.2347,948.9906,140.9851
0,0.4193,-2.6372,0.8513,-1.9503,1.2003,16.0000,33.0000,16.0000,26.5254,1115.4111,109.1633
0,0.3961,-2.8255,0.8590,-1.9326,1.2578,16.0000,33.0000,16.0000,34.7339,1156.4916,79.0222
0,0.0752,-0.7527,-1.2026,-0.8658,1.1630,1.0000,64.0000,1.0000,164.0672,1932.7984,226.4206
0,0.0865,-0.8256,0.7758,-2.1107,0.6208,1.0000,64.0000,1.0000,206.2385,2649.5872,171.3675
0,0.0739,-0.8704,0.7769,-2.1000,0.6181,1.0000,64.0000,1.0000,75.5744,2445.7476,31.1883
0,0.1098,-0.9347,0.7784,-2.0846,0.6142,19.2566,20.9595,19.2566,0.0865,2413.5258,188.2052
0,0.1884,-0.6010,0.5161,-1.8682,0.8521,1.0000,63.0000,1.0000,160.8026,1150.6335,31.4492
0,0.1172,-1.7270,0.8061,-1.9714,0.7593,16.0000,33.0000,16.0000,24.8162,701.2944,191.7861
0,0.2210,-3.4293,0.8522,-1.6186,0.7943,16.0000,33.0000,16.0000,18.4337,477.7215,143.4556
0,0.2615,0.4457,-0.3321,-1.2350,0.7903,12.0000,70.0000,12.0000,368.2744,772.0390,98.6110
0,0.0826,-0.5940,-0.1064,-1.0139,0.5451,1.0000,14.0000,1.0000,190.1762,3001.7153,149.6802
0,0.0402,-0.7458,0.2023,-1.4995,0.2955,6.0000,14.0000,6.0000,199.6202,2538.6839,181.9700
0,0.0456,-0.7334,0.1349,-0.9032,0.2772,11.0000,14.0000,11.0000,23.8542,1784.9653,277.6527
0,0.0687,-0.4510,-0.0392,-1.0667,0.7854,1.0000,14.0000,1.0000,759.7538,2355.0521,431.1143
0,0.0756,-0.6532,0.7544,-2.0099,0.2730,1.0000,14.0000,1.0000,799.1808,2559.4737,299.6507
0,0.0720,-0.8204,-0.7541,-0.8284,0.7488,1.0000,14.0000,1.0000,409.4684,2988.0326,257.5405
0,0.0704,-0.7424,-0.2413,-0.8974,0.6454,1.0000,14.0000,1.0000,160.8739,3114.2741,352.7476
0,0.0611,-0.4424,-0.3898,-1.0234,0.6684,1.0000,14.0000,1.0000,336.1591,2909.5732,419.0713
0,0.0489,0.1088,0.7321,-2.1540,0.2226,12.0000,10.0000,12.0000,647.9759,3135.6620,357.1059
0,0.0633,-0.9715,0.7792,-2.0758,0.6120,1.0000,64.0000,1.0000,190.4166,2674.2006,154.5895
0,0.0516,-0.9057,0.7770,-2.0860,0.6022,1.0000,64.0000,1.0000,39.6811,3119.3986,59.7792
0,0.0535,-0.3664,-1.4085,-0.8034,1.2637,1.0000,64.0000,1.0000,350.2103,3242.1700,161.7389
0,0.0598,-0.7711,0.5342,-1.7868,0.6833,1.0000,64.0000,1.0000,613.7411,3380.5558,69.0854
0,0.0429,-0.8015,-1.2725,-0.7502,1.0439,1.0000,64.0000,1.0000,290.7910,2863.2232,73.5824
0,0.0378,-0.8880,0.4335,-1.7558,0.5787,1.0000,64.0000,1.0000,685.2384,2927.1125,306.4112
0,0.0454,-0.6489,0.5700,-1.8659,0.6250,1.0000,64.0000,1.0000,319.0959,2589.9016,122.8805
0,0.0439,-0.6191,0.4099,-1.5170,0.6584,1.0000,68.0000,1.0000,211.4480,3006.6600,216.6907
0,0.0789,-0.3116,0.3157,-1.4381,0.7979,1.0000,68.0000,1.0000,356.1071,3305.4287,74.9551
0,0.0690,-0.8517,0.3221,-1.2458,0.7128,1.0000,68.0000,1.0000,316.2586,3534.6985,264.8162
0,0.3940,-0.1568,0.1370,-1.1841,-0.1807,11.0000,68.0000,11.0000,111.3473,3757.9941,153.1144
0,0.4647,-0.1018,0.4077,-1.1908,-0.1115,11.0000,68.0000,11.0000,250.7717,3558.6494,146.5272
0,0.0387,-0.5465,0.3338,-1.5357,0.7716,1.0000,64.0000,1.0000,470.2498,1990.2823,292.6102
0,0.0383,-0.6943,0.6213,-1.8192,0.5781,1.0000,64.0000,1.0000,997.2958,2832.4805,383.6688
0,0.0758,-0.9890,0.7749,-2.0333,0.5145,1.0000,64.0000,1.0000,4.4915,2165.5098,242.1343
0,0.0493,-0.5324,-1.3963,-0.7190,1.1305,1.0000,14.0000,1.0000,32.8514,1554.6940,105.7058
0,0.0551,-0.5242,-1.4009,-0.7310,1.0781,1.0000,64.0000,1.0000,271.7140,1109.6656,209.0369
0,0.1476,-0.8971,0.7688,-2.0225,0.4374,1.0000,64.0000,1.0000,157.6068,588.2300,33.9651
0,0.1054,-0.2128,0.7409,-2.0880,0.2307,1.0000,70.0000,1.0000,202.8573,1603.3127,159.3368
0,0.1150,-0.2958,-0.9990,-0.8683,0.7093,1.0000,70.0000,1.0000,230.3895,1663.5932,186.7882
0,0.3995,-0.6447,0.0150,-1.0866,0.1980,6.0000,70.0000,6.0000,56.7127,1725.4602,35.3765
0,0.3339,-0.3945,-0.2501,-0.9635,0.2663,9.0000,70.0000,9.0000,146.5790,1497.7056,80.5689
0,0.2743,-0.0726,0.7202,-1.9794,-0.1190,7.4620,70.0000,7.4620,337.7685,1282.2132,1.4043
0,0.0899,-0.4970,-0.1308,-0.9948,0.1532,1.0000,14.0000,1.0000,72.9473,1416.6533,22.0822
0,0.4294,0.2801,-0.2321,-1.0575,0.1692,9.0000,70.0000,9.0000,201.9860,2084.9758,201.9860
0,0.4581,-0.5470,-0.9180,-0.5550,0.1493,9.0000,14.0000,9.0000,94.7712,1612.5268,27.4840
0,0.0823,-0.3429,-0.2960,-1.0148,-0.0077,9.0000,64.0000,9.0000,275.3895,299.4475,201.2561
0,0.1051,-0.5505,-0.3035,-0.8057,-0.0048,2.0000,64.0000,2.0000,218.5892,426.4850,36.1884
0,0.1211,-0.4223,-0.8188,-0.6631,-0.0070,2.0000,64.0000,2.0000,121.0217,815.9681,2.7701
0,0.3728,-0.7695,0.4085,-1.4775,-0.4250,9.0000,64.0000,9.0000,43.4972,1103.2402,30.3144
0,0.2691,-0.7805,0.1567,-0.9636,-0.3404,9.0000,64.0000,9.0000,28.2884,1288.9609,14.5071
0,0.2120,-0.7644,0.1265,-1.2710,-0.4265,9.0000,64.0000,9.0000,47.5505,1354.3590,109.2542
0,0.1140,-1.1413,0.7329,-1.6252,-0.4315,9.0000,14.0000,9.0000,32.5867,1181.8711,144.7654
0,0.1601,-1.2787,0.7347,-1.5814,-0.4673,9.0000,14.0000,9.0000,11.4813,1300.2843,20.5995
0,0.5332,1.2325,-0.3345,-1.4172,-0.3256,9.0000,70.0000,9.0000,127.6123,2671.6564,17.2768
0,0.2630,0.6792,-0.1594,-0.9575,-0.6634,9.0000,6.0000,9.0000,214.4171,2549.0946,7.7444
0,0.1652,-0.3646,-0.3177,-0.7554,-0.0598,9.0000,70.0000,9.0000,186.9834,2486.8666,257.1030
0,0.1397,1.1928,0.6313,-1.8299,-1.1706,14.0000,6.0000,14.0000,201.0487,2810.5077,648.3446
0,0.1311,-1.2381,-0.4805,-0.2394,-0.5583,14.0000,6.0000,14.0000,18.4289,2807.3690,793.4480
0,0.1444,1.5432,-0.4592,-1.2620,-0.6059,15.0000,6.0000,15.0000,152.5158,2633.7922,664.8642
0,0.1126,-0.4949,-1.4990,-0.9079,-2.0172,18.0000,6.0000,18.0000,358.2915,1998.1110,182.9199
0,0.2696,-1.2458,0.5129,-1.1671,-0.4797,11.0000,70.0000,11.0000,166.4536,395.6103,0.8395
0,0.4932,1.0135,0.5804,-2.5287,1.1088,8.0000,13.0000,8.0000,394.6393,1807.8313,19.9161
0,0.5298,-3.1670,0.8582,-1.7797,1.0581,8.0000,13.0000,8.0000,265.3330,1573.6742,172.5461
0,0.3263,-1.7088,0.8131,-2.0359,0.9119,16.0000,5.0000,16.0000,14.2176,112.1748,335.9030
0,0.2114,-1.5880,0.7579,-1.9563,0.7608,13.8088,8.0000,13.8088,22.0532,161.2723,410.2812
0,0.4270,-0.9151,0.3173,-1.7985,0.7209,6.0000,8.0000,6.0000,235.7961,513.3790,62.3069
0,0.4607,1.3314,0.6830,-2.2773,-0.1307,14.0000,5.0000,14.0000,240.7535,319.5627,33.9902
0,0.4861,1.6752,-0.4010,-1.5918,0.2530,14.0000,13.0000,14.0000,163.6189,400.3719,54.5134
0,0.1784,-0.5800,0.7447,-1.9618,0.1121,11.0000,70.0000,11.0000,242.5148,862.2315,359.4864
0,0.2288,-2.5075,0.8021,-1.6042,0.2575,4.0000,62.0000,4.0000,48.5454,538.3063,104.3571
0,0.4288,-0.0050,0.7340,-2.1213,0.2019,12.0000,62.0000,12.0000,68.4645,747.0478,69.0112
0,0.3525,-0.3590,0.5856,-1.7498,0.4353,2.0000,70.0000,2.0000,139.0383,27.8269,25.7284
0,0.1427,-0.6514,0.6375,-1.8964,0.7759,9.0000,70.0000,9.0000,206.0046,481.4653,204.9687
0,0.1282,0.2433,0.3210,-2.0907,0.7686,2.0000,70.0000,2.0000,276.9233,454.9194,45.2859
0,0.1973,-0.0827,0.7526,-2.2393,0.5417,12.0000,70.0000,12.0000,304.6289,602.1415,7.2584
0,0.3147,0.1470,0.7480,-2.2998,0.5693,12.0000,70.0000,12.0000,419.6569,538.8793,95.3633
0,0.1036,-1.1155,0.7846,-2.0577,0.6446,15.9514,70.0000,15.9514,37.8928,625.2916,230.5154
0,0.1685,-1.0467,0.6537,-1.7576,0.5431,2.0000,70.0000,2.0000,30.4867,556.9856,63.0787
0,0.1611,-0.7371,0.2321,-1.4299,0.6701,2.7802,70.0000,2.7802,246.4765,970.4804,0.5642
0,0.4388,0.1276,0.6052,-1.8556,-0.3552,15.0000,62.0000,15.0000,99.6727,640.9173,582.7324
0,0.4486,0.3918,0.6557,-1.9373,-0.3506,15.0000,62.0000,15.0000,140.4572,704.9894,574.7937
0,0.3784,0.1639,0.6872,-1.8119,-0.6696,15.0000,62.0000,15.0000,42.0545,47.3674,1268.1487
0,0.3562,-0.0710,0.5967,-1.9218,0.0006,12.0000,62.0000,12.0000,172.8846,31.1972,358.4954
0,0.3841,-0.1371,0.7157,-1.9546,-0.1351,15.0000,62.0000,15.0000,12.2435,62.9068,530.5393
0,0.4271,-1.1485,0.4722,-1.4929,-0.0988,18.5468,62.0000,18.5468,0.4388,182.3211,579.1420
0,0.1964,0.4259,-0.3314,-0.0819,-2.5694,18.0000,38.0000,18.0000,65.5372,1850.1379,553.4528
0,0.3535,-0.0092,0.3127,-0.5057,-2.2682,18.0000,38.0000,18.0000,394.0768,2157.9070,833.7929
0,0.0689,-0.3121,0.6184,-1.0475,-2.3377,18.0000,37.0000,18.0000,3.0798,3676.9673,1144.3242
0,0.0318,-0.0487,0.1772,-0.4450,-2.3784,18.0000,37.0000,18.0000,141.7628,3756.7386,1680.2744
0,0.0528,0.3637,0.5833,-1.0508,-2.6964,18.0000,38.0000,18.0000,302.2096,3814.2905,2030.8795
0,0.0416,-0.3584,0.6027,-0.8998,-2.6849,18.0000,37.0000,18.0000,7.1745,3385.8808,1986.0293
0,0.0582,1.2585,0.1070,-0.7467,-3.0581,18.0000,38.0000,18.0000,584.6920,2478.6000,1299.8344
0,0.3057,-0.1608,0.4064,-1.7033,0.0762,10.0000,68.0000,10.0000,67.1108,1884.5904,99.7296
0,0.1942,-0.0983,0.0967,-1.5585,0.0160,10.0000,68.0000,10.0000,18.1685,2379.8500,6.8315
0,0.0589,-0.3054,0.1526,-1.3419,0.5402,1.0000,68.0000,1.0000,236.0404,785.7910,176.3597
0,0.0608,-0.1243,0.4788,-1.5255,0.5274,1.0000,68.0000,1.0000,370.3693,868.3796,235.2560
0,0.0550,-0.2677,0.5126,-1.6294,0.4856,1.0000,68.0000,1.0000,405.6651,953.8777,368.1995
0,0.0521,-1.3126,0.7751,-1.8957,0.3434,1.0000,64.0000,1.0000,340.4826,1173.5579,402.5487
